image,label,group
healthy/image080-roi5.tif,healthy,healthy/image080
healthy/image080-roi6.tif,healthy,healthy/image080
healthy/image081-roi1.tif,healthy,healthy/image081
healthy/image081-roi2.tif,healthy,healthy/image081
healthy/image081-roi3.tif,healthy,healthy/image081
healthy/image081-roi4.tif,healthy,healthy/image081
healthy/image081-roi5.tif,healthy,healthy/image081
mild/image005-roi1.tif,mild,mild/image005
mild/image005-roi2.tif,mild,mild/image005
mild/image005-roi3.tif,mild,mild/image005
mild/image005-roi4.tif,mild,mild/image005
mild/image006-roi1.tif,mild,mild/image006
mild/image006-roi2.tif,mild,mild/image006
mild/image006-roi3.tif,mild,mild/image006
mild/image006-roi4.tif,mild,mild/image006
mild/image006-roi5.tif,mild,mild/image006
mild/image008-roi1.tif,mild,mild/image008
mild/image008-roi2.tif,mild,mild/image008
mild/image008-roi3.tif,mild,mild/image008
mild/image008-roi4.tif,mild,mild/image008
mild/image011-roi1.tif,mild,mild/image011
mild/image011-roi2.tif,mild,mild/image011
mild/image011-roi3.tif,mild,mild/image011
mild/image011-roi4.tif,mild,mild/image011
mild/image011-roi5.tif,mild,mild/image011
mild/image014-roi1.tif,mild,mild/image014
mild/image014-roi2.tif,mild,mild/image014
mild/image014-roi3.tif,mild,mild/image014
mild/image014-roi4.tif,mild,mild/image014
mild/image014-roi5.tif,mild,mild/image014
mild/image015-roi1.tif,mild,mild/image015
mild/image015-roi2.tif,mild,mild/image015
mild/image015-roi3.tif,mild,mild/image015
mild/image015-roi4.tif,mild,mild/image015
mild/image015-roi5.tif,mild,mild/image015
mild/image021-roi1.tif,mild,mild/image021
mild/image021-roi2.tif,mild,mild/image021
mild/image021-roi3.tif,mild,mild/image021
mild/image021-roi4.tif,mild,mild/image021
mild/image021-roi5.tif,mild,mild/image021
mild/image021-roi6.tif,mild,mild/image021
mild/image023-roi1.tif,mild,mild/image023
mild/image023-roi2.tif,mild,mild/image023
mild/image023-roi3.tif,mild,mild/image023
mild/image023-roi4.tif,mild,mild/image023
mild/image023-roi5.tif,mild,mild/image023
mild/image023-roi7.tif,mild,mild/image023
mild/image023-roi8.tif,mild,mild/image023
mild/image027-roi1.tif,mild,mild/image027
mild/image027-roi2.tif,mild,mild/image027
mild/image027-roi3.tif,mild,mild/image027
mild/image027-roi4.tif,mild,mild/image027
mild/image027-roi5.tif,mild,mild/image027
mild/image038-roi1.tif,mild,mild/image038
mild/image038-roi2.tif,mild,mild/image038
mild/image038-roi3.tif,mild,mild/image038
mild/image038-roi4.tif,mild,mild/image038
mild/image038-roi5.tif,mild,mild/image038
mild/image039-roi1.tif,mild,mild/image039
mild/image039-roi2.tif,mild,mild/image039
mild/image039-roi3.tif,mild,mild/image039
mild/image039-roi4.tif,mild,mild/image039
mild/image039-roi5.tif,mild,mild/image039
mild/image044-roi1.tif,mild,mild/image044
mild/image044-roi2.tif,mild,mild/image044
mild/image044-roi3.tif,mild,mild/image044
mild/image044-roi4.tif,mild,mild/image044
mild/image044-roi5.tif,mild,mild/image044
mild/image045-2-roi1.tif,mild,mild/image045-2
mild/image045-2-roi2.tif,mild,mild/image045-2
mild/image046-roi1.tif,mild,mild/image046
mild/image046-roi10.tif,mild,mild/image046
mild/image046-roi2.tif,mild,mild/image046
mild/image046-roi3.tif,mild,mild/image046
mild/image046-roi4.tif,mild,mild/image046
mild/image046-roi5.tif,mild,mild/image046
mild/image046-roi6.tif,mild,mild/image046
mild/image046-roi7.tif,mild,mild/image046
mild/image046-roi8.tif,mild,mild/image046
mild/image046-roi9.tif,mild,mild/image046
mild/image048-roi1.tif,mild,mild/image048
mild/image048-roi2.tif,mild,mild/image048
mild/image048-roi3.tif,mild,mild/image048
mild/image048-roi4.tif,mild,mild/image048
mild/image048-roi5.tif,mild,mild/image048
moderate/image016-roi1.tif,moderate,moderate/image016
moderate/image016-roi2.tif,moderate,moderate/image016
moderate/image016-roi3.tif,moderate,moderate/image016
moderate/image016-roi4.tif,moderate,moderate/image016
moderate/image016-roi5.tif,moderate,moderate/image016
moderate/image019-roi1.tif,moderate,moderate/image019
moderate/image019-roi2.tif,moderate,moderate/image019
moderate/image019-roi3.tif,moderate,moderate/image019
moderate/image019-roi4.tif,moderate,moderate/image019
moderate/image019-roi5.tif,moderate,moderate/image019
moderate/image019-roi6.tif,moderate,moderate/image019
moderate/image020-roi1.tif,moderate,moderate/image020
moderate/image020-roi2.tif,moderate,moderate/image020
moderate/image020-roi3.tif,moderate,moderate/image020
moderate/image020-roi4.tif,moderate,moderate/image020
moderate/image020-roi5.tif,moderate,moderate/image020
moderate/image022-roi1.tif,moderate,moderate/image022
moderate/image022-roi2.tif,moderate,moderate/image022
moderate/image022-roi3.tif,moderate,moderate/image022
moderate/image022-roi4.tif,moderate,moderate/image022
moderate/image025-roi1.tif,moderate,moderate/image025
moderate/image025-roi2.tif,moderate,moderate/image025
moderate/image025-roi3.tif,moderate,moderate/image025
moderate/image031-roi1.tif,moderate,moderate/image031
moderate/image031-roi2.tif,moderate,moderate/image031
moderate/image031-roi3.tif,moderate,moderate/image031
moderate/image031-roi4.tif,moderate,moderate/image031
moderate/image033-roi1.tif,moderate,moderate/image033
moderate/image033-roi2.tif,moderate,moderate/image033
moderate/image033-roi3.tif,moderate,moderate/image033
moderate/image037-roi2.tif,moderate,moderate/image037
moderate/image037-roi3.tif,moderate,moderate/image037
moderate/image037-roi4.tif,moderate,moderate/image037
moderate/image037-roi5.tif,moderate,moderate/image037
moderate/image037-roi6.tif,moderate,moderate/image037
moderate/image037-roi7.tif,moderate,moderate/image037
moderate/image039-roi1.tif,moderate,moderate/image039
moderate/image039-roi2.tif,moderate,moderate/image039
moderate/image039-roi3.tif,moderate,moderate/image039
moderate/image039-roi4.tif,moderate,moderate/image039
moderate/image039-roi5.tif,moderate,moderate/image039
moderate/image039-roi6.tif,moderate,moderate/image039
moderate/image039-roi7.tif,moderate,moderate/image039
moderate/image040-2-roi1.tif,moderate,moderate/image040-2
moderate/image040-2-roi2.tif,moderate,moderate/image040-2
moderate/image040-2-roi3.tif,moderate,moderate/image040-2
moderate/image041-roi1.tif,moderate,moderate/image041
moderate/image041-roi2.tif,moderate,moderate/image041
moderate/image041-roi4.tif,moderate,moderate/image041
moderate/image042-roi1.tif,moderate,moderate/image042
moderate/image042-roi2.tif,moderate,moderate/image042
moderate/image042-roi3.tif,moderate,moderate/image042
moderate/image042-roi4.tif,moderate,moderate/image042
moderate/image042-roi5.tif,moderate,moderate/image042
moderate/image043-roi1.tif,moderate,moderate/image043
moderate/image043-roi2.tif,moderate,moderate/image043
moderate/image043-roi3.tif,moderate,moderate/image043
moderate/image043-roi4.tif,moderate,moderate/image043
moderate/image043-roi5.tif,moderate,moderate/image043
moderate/image044-roi1.tif,moderate,moderate/image044
moderate/image044-roi2.tif,moderate,moderate/image044
moderate/image044-roi3.tif,moderate,moderate/image044
moderate/image044-roi4.tif,moderate,moderate/image044
moderate/image051-roi1.tif,moderate,moderate/image051
moderate/image051-roi2.tif,moderate,moderate/image051
moderate/image051-roi3.tif,moderate,moderate/image051
moderate/image051-roi4.tif,moderate,moderate/image051
moderate/image058-2-roi1.tif,moderate,moderate/image058-2
moderate/image058-2-roi2.tif,moderate,moderate/image058-2
moderate/image059-roi1.tif,moderate,moderate/image059
moderate/image059-roi2.tif,moderate,moderate/image059
moderate/image059-roi3.tif,moderate,moderate/image059
moderate/image059-roi4.tif,moderate,moderate/image059
moderate/image060-roi1.tif,moderate,moderate/image060
moderate/image060-roi2.tif,moderate,moderate/image060
moderate/image060-roi3.tif,moderate,moderate/image060
moderate/image060-roi4.tif,moderate,moderate/image060
moderate/image060-roi5.tif,moderate,moderate/image060
moderate/image063-roi2.tif,moderate,moderate/image063
moderate/image063-roi3.tif,moderate,moderate/image063
severe/image013-roi1.tif,severe,severe/image013
severe/image013-roi2.tif,severe,severe/image013
severe/image013-roi3.tif,severe,severe/image013
severe/image013-roi4.tif,severe,severe/image013
severe/image013-roi5.tif,severe,severe/image013
severe/image034-roi1.tif,severe,severe/image034
severe/image034-roi2.tif,severe,severe/image034
severe/image034-roi3.tif,severe,severe/image034
severe/image034-roi4.tif,severe,severe/image034
severe/image034-roi5.tif,severe,severe/image034
severe/image036-roi1.tif,severe,severe/image036
severe/image036-roi2.tif,severe,severe/image036
severe/image036-roi3.tif,severe,severe/image036
severe/image036-roi4.tif,severe,severe/image036
severe/image036-roi5.tif,severe,severe/image036
severe/image043-roi1.tif,severe,severe/image043
severe/image043-roi2.tif,severe,severe/image043
severe/image043-roi3.tif,severe,severe/image043
severe/image043-roi4.tif,severe,severe/image043
severe/image049-roi1.tif,severe,severe/image049
severe/image049-roi2.tif,severe,severe/image049
severe/image049-roi3.tif,severe,severe/image049
severe/image049-roi4.tif,severe,severe/image049
severe/image049-roi5.tif,severe,severe/image049
severe/image052-roi1.tif,severe,severe/image052
severe/image052-roi2.tif,severe,severe/image052
severe/image052-roi3.tif,severe,severe/image052
severe/image052-roi4.tif,severe,severe/image052
severe/image052-roi5.tif,severe,severe/image052
severe/image054-roi1.tif,severe,severe/image054
severe/image054-roi2.tif,severe,severe/image054
severe/image054-roi3.tif,severe,severe/image054
severe/image054-roi4.tif,severe,severe/image054
severe/image054-roi5.tif,severe,severe/image054
severe/image056-roi1.tif,severe,severe/image056
severe/image056-roi2.tif,severe,severe/image056
severe/image056-roi3.tif,severe,severe/image056
severe/image056-roi4.tif,severe,severe/image056
severe/image056-roi5.tif,severe,severe/image056
severe/image062-roi1.tif,severe,severe/image062
severe/image062-roi2.tif,severe,severe/image062
severe/image062-roi5.tif,severe,severe/image062
severe/image062-roi7.tif,severe,severe/image062
severe/image063-roi3.tif,severe,severe/image063
severe/image063-roi4.tif,severe,severe/image063
severe/image064-roi1.tif,severe,severe/image064
severe/image064-roi2.tif,severe,severe/image064
severe/image064-roi3.tif,severe,severe/image064
severe/image064-roi5.tif,severe,severe/image064
severe/image072-roi1.tif,severe,severe/image072
severe/image072-roi2.tif,severe,severe/image072
severe/image072-roi5.tif,severe,severe/image072
severe/image075-roi1.tif,severe,severe/image075
severe/image075-roi2.tif,severe,severe/image075
severe/image077-roi1.tif,severe,severe/image077
severe/image077-roi2.tif,severe,severe/image077
severe/image077-roi3.tif,severe,severe/image077
severe/image077-roi4.tif,severe,severe/image077
severe/image077-roi5.tif,severe,severe/image077
severe/image078-roi1.tif,severe,severe/image078
severe/image078-roi2.tif,severe,severe/image078
severe/image078-roi5.tif,severe,severe/image078
severe/image082-roi5.tif,severe,severe/image082
severe/image086-roi1.tif,severe,severe/image086
severe/image086-roi3.tif,severe,severe/image086
severe/image087-roi1.tif,severe,severe/image087
severe/image087-roi2.tif,severe,severe/image087
severe/image088-roi5.tif,severe,severe/image088
